Record_ID,Date,Country,City,Temperature_C,Humidity,Precipitation_mm,Air_Quality_Index_AQI,Extreme_Weather_Events,Climate_Classification,Climate_Zone,Biome_Type,Heat_Index,Wind_Speed,Wind_Direction,Season,Population_Exposure,Economic_Impact_Estimate,Infrastructure_Vulnerability_Score
cnd_42,2024-02-11,Canada,Toronto,12.69999981,51,161,433,None,Koeppen-D,Temperate,Forest,15.19999981,10,S,Winter,4886196,35916376,7
cnd_43,2024-02-12,Canada,Toronto,16.20000076,18,154.1000061,190,Drought,Koeppen-A,Temperate,Grassland,17.10000038,33.70000076,NE,Winter,6834942,61955032,2
cnd_44,2024-02-13,Canada,Toronto,37.90000153,27,67.40000153,478,None,Koeppen-D,Temperate,Desert,39.20000076,29.89999962,SW,Winter,9572009,82571712,6
cnd_45,2024-02-14,Canada,Toronto,25.89999962,27,197,250,None,Koeppen-C,Temperate,Desert,27.20000076,5.199999809,NE,Winter,6731574,90936472,4
cnd_46,2024-02-15,Canada,Toronto,13.10000038,49,182.1000061,305,None,Koeppen-C,Temperate,Wetland,15.60000038,10.39999962,SW,Winter,2000340,38636900,6
cnd_47,2024-02-16,Canada,Toronto,-7.800000191,10,96.80000305,382,None,Koeppen-B,Temperate,Desert,-7.300000191,29.10000038,W,Winter,3428239,67905296,1
cnd_48,2024-02-17,Canada,Toronto,40.29999924,89,147.3999939,63,None,Koeppen-B,Temperate,Forest,44.79999924,4.900000095,W,Winter,1100793,21188316,5
cnd_49,2024-02-18,Canada,Toronto,15.39999962,63,172.6999969,395,Heatwave,Koeppen-A,Temperate,Tundra,18.60000038,17,NW,Winter,2570291,57444896,3
cnd_50,2024-02-19,Canada,Toronto,33.20000076,66,163.6000061,223,None,Koeppen-C,Temperate,Tundra,36.5,24.89999962,SW,Winter,1910639,44290524,9
cnd_51,2024-02-20,Canada,Toronto,-0.100000001,51,33.70000076,386,None,Koeppen-D,Temperate,Desert,2.5,30.79999924,W,Winter,8331116,17067460,10
cnd_52,2024-02-21,Canada,Toronto,31,90,181.6000061,74,None,Koeppen-A,Temperate,Wetland,35.5,28.29999924,NE,Winter,682551,10647309,5
cnd_53,2024-02-22,Canada,Toronto,36.5,92,110.4000015,132,None,Koeppen-C,Temperate,Wetland,41.09999847,6.699999809,NE,Winter,5448042,29462716,2
cnd_54,2024-02-23,Canada,Toronto,10.30000019,75,108.0999985,289,None,Koeppen-B,Temperate,Tundra,14.10000038,13,W,Winter,4498900,38051888,6
cnd_55,2024-02-24,Canada,Toronto,7.099999905,67,168.6000061,198,None,Koeppen-B,Temperate,Forest,10.39999962,36.70000076,N,Winter,2064885,88414056,7
